segment,n_points,type,method,linearity,planarity,sphericity,curvature_mean,normal_consistency,n_components,rmse,hausdorff_p95,chamfer,n_artifacts,watertight,n_vertices,n_triangles,file
9,1425,complex,poisson,0.37994070847546774,0.5798488771966575,0.0402104143278748,0.06120899045915353,0.9243460585105571,1,0.014123229620066057,0.07365771693786217,0.03532132362843669,1,False,4766,9433,valve_0006_lidar_classes.ply
10,3558,plane,alpha_shape,0.11602509752786473,0.5001556848007852,0.3838192176713501,0.048727995907714684,0.9631566123204922,4,0.011922419245263506,0.018743780299550913,0.01981510089488571,6,False,2628,5812,valve_0006_lidar_classes.ply
11,692,plane,alpha_shape,0.15883323638317143,0.8181596090286654,0.02300715458816315,0.03381725122890195,0.9773995479711131,2,0.011939943780060837,0.020566788373710707,0.02137387801410047,1,False,625,1318,valve_0006_lidar_classes.ply
12,1405,plane,alpha_shape,0.1327074959718139,0.7828198074314731,0.08447269659671304,0.04609693413176118,0.9596633339549682,1,0.012240670489953413,0.020516395395151734,0.021813407397252654,1,False,1142,2456,valve_0006_lidar_classes.ply
13,670,complex,poisson,0.17835182763381638,0.44450127601628103,0.3771468963499026,0.07475977788250213,0.9095229436972957,1,0.012434152800120639,0.03752411130743577,0.02435910395218849,3,False,3189,6154,valve_0006_lidar_classes.ply
2,853,complex,poisson,0.05189203388005838,0.5109099881901349,0.43719797792980675,0.08811709538681253,0.8785951650176612,16,0.02230499924609936,0.12714400318716784,0.08309581263305377,3,False,6620,12917,valve_0007_lidar_classes.ply
3,54,tube,ball_pivoting,0.8783957957261997,0.09940534504375503,0.02219885923004525,0.07872530471874421,0.8986688806377471,1,0.007893208454095725,0.031398297223226124,0.020494302606827716,1,False,54,73,valve_0007_lidar_classes.ply
5,1553,complex,poisson,0.27022365129882087,0.6489655509793479,0.08081079772183117,0.09881443115270494,0.8052824985033872,1,0.01829809428542259,0.17667349846912592,0.0790813828730843,4,False,6719,13230,valve_0007_lidar_classes.ply
6,244,complex,poisson,0.30676429436760705,0.2915465291630853,0.40168917646930763,0.059776420342625036,0.9148104866900177,19,0.03667773499434617,0.15210629729224065,0.11223188119191652,4,False,4654,9024,valve_0007_lidar_classes.ply
7,53,tube,ball_pivoting,0.7724319230936482,0.10086968683481107,0.12669839007154077,0.07538375076035492,0.8568082770680062,3,0.042134318679039606,0.11252923679084022,0.027443494104073048,1,False,53,56,valve_0007_lidar_classes.ply
8,1657,complex,poisson,0.4367741946520962,0.5254591194415396,0.03776668590636416,0.06326547255882689,0.9236316714774099,1,0.013440608389065694,0.06703206812491495,0.034051301237596254,1,False,4910,9675,valve_0007_lidar_classes.ply
9,1956,complex,poisson,0.2534924965033242,0.7001481595579389,0.046359343938736905,0.0565460373926054,0.9390853228060149,2,0.012667239361706367,0.08624888448646449,0.03483338663292182,1,False,5797,11522,valve_0007_lidar_classes.ply
10,3745,complex,poisson,0.12619496908218897,0.4015998676909675,0.4722051632268435,0.04141221513843711,0.969383737170536,4,0.010842292209010318,0.0441533235709383,0.022816203020461303,2,False,8387,16587,valve_0007_lidar_classes.ply
11,616,plane,alpha_shape,0.46474680830275267,0.5143957045387506,0.02085748715849677,0.03209378251409659,0.9754498621981297,3,0.01218777826091095,0.02174212193878662,0.02100308019654746,1,False,548,1182,valve_0007_lidar_classes.ply
12,1268,plane,alpha_shape,0.14251956442347385,0.7925039069414879,0.06497652863503825,0.047997928838576676,0.960702536708232,1,0.012059376649698935,0.021849423330087832,0.0215334498030635,2,False,1053,2274,valve_0007_lidar_classes.ply
13,672,complex,poisson,0.04224086107276974,0.5295255800013435,0.4282335589258867,0.0789779392427272,0.893937879824681,2,0.012010817643002684,0.028532728538009717,0.021854694602744418,6,False,3021,5836,valve_0007_lidar_classes.ply
2,529,complex,poisson,0.1265758799548954,0.437740176440679,0.43568394360442564,0.07161722603510655,0.8900146066610599,15,0.023508721641744303,0.12766900955384203,0.0755416721013743,8,False,3735,7164,valve_0008_lidar_classes.ply
3,57,tube,ball_pivoting,0.9038349553118776,0.07499615753534047,0.02116888715278192,0.08692216680902018,0.9216032685998652,2,0.007618026679419046,0.051309590337214876,0.02151321608841443,1,False,57,81,valve_0008_lidar_classes.ply
5,1693,complex,poisson,0.3493061390734392,0.5915972968488179,0.0590965640777429,0.09809704799092311,0.8173270156766186,1,0.01740124533801244,0.12963664450252346,0.06412629901604439,4,False,6680,13177,valve_0008_lidar_classes.ply
6,239,complex,poisson,0.09906981028532331,0.3421079185591707,0.558822271155506,0.07039768869211259,0.9005307603598254,17,0.038263615833715715,0.14096333352575718,0.10600501938950085,3,False,3989,7591,valve_0008_lidar_classes.ply
7,70,tube,ball_pivoting,0.9679995721045143,0.006187144870437419,0.02581328302504843,0.09996368585015254,0.8499413865993399,2,0.012254371012441501,0.029125689412718626,0.019474057206597527,2,False,70,72,valve_0008_lidar_classes.ply
8,1648,complex,poisson,0.24228834427230414,0.7122395202489298,0.0454721354787661,0.0521095658787523,0.9481122545658747,1,0.013948554559560978,0.16188289817756335,0.056077746170996944,4,False,5302,10520,valve_0008_lidar_classes.ply
9,1736,complex,poisson,0.34216559047437056,0.6123259181045198,0.04550849142110974,0.07038592930698445,0.9138401734325537,1,0.013536312280738165,0.07223554892725209,0.03432344032620704,1,False,5383,10617,valve_0008_lidar_classes.ply
10,3531,complex,poisson,0.2265818778331831,0.29035963315816565,0.4830584890086513,0.04055727827731696,0.9701344523033196,4,0.010676543510286164,0.040409184347561244,0.021667574207868315,1,False,8327,16457,valve_0008_lidar_classes.ply
11,697,plane,alpha_shape,0.11236226449610463,0.8644199085865808,0.02321782691731458,0.03300231171992329,0.9779446873608537,1,0.01140872140991923,0.018694986166957,0.019524894798362613,2,False,614,1324,valve_0008_lidar_classes.ply
12,1542,complex,poisson,0.19304458933481278,0.7339134011900248,0.0730420094751624,0.052401077850039265,0.9502416887835191,1,0.01441600685159215,0.1485492143086172,0.054658384761204985,1,False,6000,11849,valve_0008_lidar_classes.ply
13,657,complex,poisson,0.14394845564252895,0.3843852776790039,0.47166626667846717,0.07655722895832684,0.9028688132679042,1,0.01285819205822895,0.029060859215755613,0.023016395799301405,6,False,3246,6262,valve_0008_lidar_classes.ply
2,576,complex,poisson,0.24285498954858553,0.3909444271694564,0.3662005832819581,0.07637226973575367,0.8708058832103867,17,0.028248838213973466,0.13535640250348455,0.09098136393903782,6,False,5719,11087,valve_0009_lidar_classes.ply
3,85,tube,ball_pivoting,0.8066603160033418,0.16676914377468213,0.026570540221976177,0.07120854370864775,0.9131893706689854,1,0.00933824374822086,0.022382588840998616,0.01846175924106714,1,False,85,121,valve_0009_lidar_classes.ply
5,1620,complex,poisson,0.29501765785600165,0.6322259444505229,0.07275639769347542,0.09412644276524254,0.8236048702811327,1,0.021158078700581572,0.28810725862014647,0.12194659550913196,7,False,8331,16376,valve_0009_lidar_classes.ply
6,861,complex,poisson,0.41834905712177484,0.2723193581481272,0.309331584730098,0.06209825225707944,0.9206644484187868,9,0.02164074834135624,0.14044760424548566,0.07641402277976153,2,False,5569,10879,valve_0009_lidar_classes.ply
7,114,tube,ball_pivoting,0.9749421344439395,0.006726643426298707,0.01833122212976176,0.07419837571254945,0.8626510246125728,3,0.015136207215314165,0.049607031577544404,0.029340419397131258,2,False,114,129,valve_0009_lidar_classes.ply
8,2362,complex,poisson,0.34186637909562523,0.5836567642422168,0.07447685666215802,0.06717674457396726,0.9278404729386605,1,0.012224724091025586,0.02798758581478564,0.021323958483027792,5,False,7228,14293,valve_0009_lidar_classes.ply
9,1156,complex,poisson,0.46312243414351606,0.5015184387970596,0.035359127059424324,0.06136092489843338,0.9378905456325286,2,0.014175897440369496,0.10245253198179752,0.04639368088335334,2,False,4366,8551,valve_0009_lidar_classes.ply
10,3208,complex,poisson,0.24572617871640107,0.3884892104017996,0.3657846108817993,0.04621002559974745,0.9664508489315023,7,0.011852476958707307,0.07430598606643679,0.03320635120898999,5,False,8378,16573,valve_0009_lidar_classes.ply
11,530,complex,poisson,0.527030416131219,0.4509748357045415,0.02199474816423949,0.02730305999791329,0.9743552380199185,5,0.024276756169436503,0.24191295044718483,0.12092182935905274,1,False,4231,8124,valve_0009_lidar_classes.ply
12,1100,plane,alpha_shape,0.3699731207345386,0.5628286707048942,0.0671982085605673,0.041081824439622806,0.9660962441401173,2,0.012400820992081526,0.02557145384601487,0.02252760922373031,1,False,933,2080,valve_0009_lidar_classes.ply
13,668,complex,poisson,0.22480339213106368,0.292021257278696,0.48317535059024036,0.07503875648841023,0.9137878974824198,1,0.012243593867909987,0.03049286865979137,0.022587936633187096,1,False,2895,5605,valve_0009_lidar_classes.ply
2,706,complex,poisson,0.0688592323363651,0.4745885471172909,0.456552220546344,0.07151861573634087,0.8890411752455891,16,0.022025382096314727,0.11930532884709703,0.07182820367889697,6,False,4802,9211,valve_0010_lidar_classes.ply
3,60,tube,ball_pivoting,0.8550629553854382,0.12547604903850523,0.019460995576056603,0.08571243238952775,0.9261324571003368,2,0.008726578755820407,0.03811969472398859,0.0214608045091881,2,False,60,71,valve_0010_lidar_classes.ply
5,1601,complex,poisson,0.32734903247690866,0.5877321632953234,0.08491880422776797,0.09415405218771693,0.830123268529319,1,0.020028609598570838,0.23006367938718292,0.10794939741996301,10,False,7766,15253,valve_0010_lidar_classes.ply
6,262,complex,poisson,0.12854772022294128,0.3945624937074824,0.4768897860695763,0.06422699234148699,0.9153932632631213,22,0.03397250949276185,0.1695888241722401,0.10316248118819862,9,False,5177,9968,valve_0010_lidar_classes.ply
7,70,tube,ball_pivoting,0.9781877115954514,0.008947023085913572,0.012865265318634966,0.09965554029761804,0.8281613933401681,3,0.01821090676689979,0.029540810660961748,0.02339943131990964,2,False,70,59,valve_0010_lidar_classes.ply
8,1706,complex,poisson,0.35548633815274494,0.6072168764472021,0.03729678540005294,0.052318264678693015,0.9433588428464076,4,0.01305931178910329,0.08608618475326926,0.037540534320876645,1,False,5153,10233,valve_0010_lidar_classes.ply
9,1519,complex,poisson,0.27319583584330775,0.6792954750977687,0.04750868905892364,0.06284707639144486,0.9257544329673926,1,0.014032803241384005,0.09058205482321686,0.04103303576219616,3,False,5336,10578,valve_0010_lidar_classes.ply
10,3568,complex,poisson,0.09762392208613226,0.45987729744753847,0.4424987804663293,0.04390665082620958,0.9660553202656302,3,0.011209387231528764,0.0630506087136458,0.02722299427539511,3,False,8728,17283,valve_0010_lidar_classes.ply
11,670,plane,alpha_shape,0.22826786332566124,0.7467284056206963,0.025003731053642474,0.0347277903740108,0.9745982877967576,1,0.012291832550790234,0.02096850872291195,0.021239863741087127,1,False,588,1280,valve_0010_lidar_classes.ply
12,1284,plane,alpha_shape,0.08931215706373878,0.8217063581823646,0.08898148475389661,0.04515783744971815,0.9627042434565172,1,0.012654282547061085,0.021454923464340078,0.02214903649145363,1,False,1064,2328,valve_0010_lidar_classes.ply
13,625,complex,poisson,0.01601143873647666,0.5329414091052942,0.4510471521582291,0.07177315031384168,0.9091005434510174,1,0.012246486288798524,0.03320407845768057,0.022890408670309472,1,False,2870,5545,valve_0010_lidar_classes.ply
2,422,complex,poisson,0.22527134912805122,0.4530607312269132,0.3216679196450355,0.07390882368476953,0.8819781756292642,15,0.03147253486132518,0.09925388249201711,0.07042200944863468,6,False,2758,5333,valve_0011_lidar_classes.ply
5,1565,complex,poisson,0.400113110570577,0.5253683959422376,0.07451849348718546,0.09297053898963767,0.8335315811350205,1,0.021110260859659953,0.2334354994599254,0.10827769088801051,1,False,7605,14956,valve_0011_lidar_classes.ply
6,447,tube,ball_pivoting,0.517792069858683,0.2364098272186007,0.24579810292271634,0.0675581165596289,0.922217939571516,13,0.018061618193618213,0.06956782458135229,0.04301867034425906,6,False,447,590,valve_0011_lidar_classes.ply
7,68,tube,ball_pivoting,0.9757468770525622,0.005533883495466381,0.01871923945197134,0.10920811051916068,0.7766537271951224,3,0.016965738193113887,0.03674161157992525,0.026722741537168956,2,False,68,52,valve_0011_lidar_classes.ply
8,961,plane,alpha_shape,0.2748970279473728,0.6874133737512197,0.0376895983014075,0.046778959133286654,0.9507508997277286,3,0.014052587450875878,0.030232232584702885,0.02593094909892836,1,False,768,1606,valve_0011_lidar_classes.ply
9,1972,tube,ball_pivoting,0.5208271033770755,0.43312843087118147,0.046044465751743056,0.067965232157268,0.9167878129478796,1,0.01201730839884735,0.020560625125229777,0.020922389276024266,3,False,1972,2566,valve_0011_lidar_classes.ply
10,3186,complex,poisson,0.27317612586759504,0.3995383536678219,0.32728552046458304,0.045523518361967164,0.9683101982770106,2,0.012123614034616759,0.09295871453401638,0.037385383182604745,1,False,7874,15582,valve_0011_lidar_classes.ply
11,563,plane,alpha_shape,0.32229779357350685,0.6552219493086507,0.022480257117842493,0.02922017260181947,0.9753714286242184,2,0.012693221582812147,0.021039307077231197,0.02213817290935586,4,False,513,1088,valve_0011_lidar_classes.ply
12,1234,plane,alpha_shape,0.05193792800569818,0.8748127932772966,0.07324927871700523,0.04802091786153152,0.9593467967675783,1,0.012830118905657252,0.022201944727757803,0.02260291752378615,1,False,1002,2184,valve_0011_lidar_classes.ply
13,680,complex,poisson,0.10338857454484794,0.49599350320957425,0.40061792224557785,0.0681300673829363,0.9198278339203664,1,0.012202561367625436,0.02684637298537162,0.02161590716099849,3,False,3171,6128,valve_0011_lidar_classes.ply
2,452,complex,poisson,0.24854287996265842,0.4857571595053132,0.26569996053202843,0.08048217879583837,0.9082891240672545,14,0.025825127267965698,0.13151964291440615,0.07631106271540158,14,False,3200,6071,valve_0012_lidar_classes.ply
3,72,tube,ball_pivoting,0.8143963011562114,0.1622138347518337,0.023389864091954808,0.05727643694871159,0.9418353223817425,1,0.009411620753983066,0.03394407569711938,0.021804315257507548,1,False,72,102,valve_0012_lidar_classes.ply
5,1504,complex,poisson,0.3085928133596943,0.6205024043201329,0.07090478232017272,0.10303643202480964,0.8063868351189648,1,0.019509684950474802,0.15413880858325169,0.07410324522137371,3,False,6346,12545,valve_0012_lidar_classes.ply
